TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RECT11;83,50;10,63;0,89;2.474.442,69;16,68;;;768.360.581,24;68.223,00;Ativa;
BLMR11;90,00;1,11;0,94;972.937,23;21,49;;;243.581.512,70;3.745,00;Ativa;
GCRI11;102,00;2,94;1,00;23.832,33;12,25;;;83.636.546,58;75,00;Ativa;
HBTT11;1.055,00;5,84;;37.746,53;;;;0,00;0,00;Ativa;
JBFO11;0,00;0,00;;;24,55;;;124.971.760,57;234,00;Ativa;
MGLG11;0,00;0,00;;;100,01;;;19.957.335,59;2,00;Ativa;
REIT11;1.094,00;6,90;0,91;308.294,00;17,07;;-3,93;31.665.980,18;55,00;Ativa;
RELG11;98,90;3,28;1,03;187.691,63;0,52;;;89.582.612,15;2.317,00;Ativa;
RMAI11;40,15;0,00;0,04;16.822,34;0,72;;;271.169.512,09;1.151,00;Passiva;
RRCI11;89,00;2,63;0,93;93.705,54;8,24;;;46.342.781,71;2.064,00;Ativa;
BPFF11;77,60;8,34;0,91;1.168.237,06;8,27;-4,72;-9,43;382.326.190,25;18.265,00;Ativa;
BRCR11;84,54;6,58;0,79;3.204.290,89;0,71;-27,72;-6,49;2.860.785.474,43;125.632,00;Ativa;
BRIP11;1.010,00;0,00;1,02;292.795,56;30,27;;;66.588.294,04;222,00;Ativa;
LSPA11;0,00;0,00;;;1,66;;;40.336.534,51;220,00;Ativa;
MOFF11;0,00;0,00;;;3,78;;;192.301.841,72;3,00;Ativa;
RVBI11;92,98;7,42;0,98;486.527,26;1,82;;;136.296.671,71;10.485,00;Ativa;
RZAK11;98,00;0,52;1,01;1.084.770,60;16,88;;;292.086.035,72;6.951,00;Ativa;
NAVT11;0,00;0,00;;;42,59;;;102.952.745,56;2.166,00;Ativa;
OULG11;71,14;10,01;0,76;153.251,54;6,09;;;232.812.018,34;6.674,00;Ativa;
TFOF11;138,00;6,43;1,14;389.140,62;13,36;29,98;;103.080.374,68;3.278,00;Ativa;
