TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
KNCR11;93,46;3,86;0,95;4.361.143,60;10,11;-19,81;-3,76;3.845.645.753,25;67.693,00;Ativa;
KNHY11;112,63;8,69;1,10;1.615.434,00;2,68;;;1.090.085.608,03;5.795,00;Ativa;
MFAI11;101,50;28,06;1,06;130.657,09;10,71;;;29.080.317,69;3.598,00;Ativa;
MFII11;120,65;10,09;1,02;1.329.318,06;27,76;-4,43;-3,05;428.898.912,03;28.938,00;Ativa;
MGFF11;85,30;8,12;1,00;1.923.293,83;4,32;2,24;-4,84;772.429.900,08;51.317,00;Ativa;
NVHO11;15,14;6,42;1,22;8.531,43;0,86;10,95;23,18;513.175.023,20;2.579,00;Ativa;
NVIF11B;227,50;2,48;1,31;;314,31;;;58.735.923,94;7,00;Ativa;
SFND11;83,07;106,37;4,61;;13,92;114,52;;17.675.984,26;55,00;Passiva;
SHPH11;834,94;3,18;1,02;228.756,37;0,38;-7,16;-6,21;499.660.320,46;3.149,00;Passiva;
SPAF11;0,00;0,00;;;3,08;;;11.311.240,59;1,00;Ativa;
TRXB11;118,10;4,90;1,09;580.630,00;3,23;;;270.372.838,75;114,00;Passiva;
TRXF11;106,10;7,22;1,00;2.744.375,00;10,15;;;595.926.109,36;21.768,00;Ativa;
TSNC11;0,00;0,00;;;2,28;5,83;;98.685.489,35;66,00;Ativa;
MXRF11;10,49;8,10;1,04;8.038.785,40;17,78;0,00;-0,22;2.020.557.088,53;356.171,00;Ativa;
TOUR11;130,01;7,47;0,28;12.258,10;29,81;;;4.612.270,15;252,00;Ativa;
ATSA11;109,97;0,00;1,11;7.658,44;1,66;;;173.151.386,14;259,00;Passiva;
KNRI11;150,29;5,27;0,97;4.654.144,80;0,50;-6,01;-3,45;3.751.807.943,34;232.729,00;Ativa;
SPTW11;62,95;21,38;1,21;589.807,11;34,79;24,95;-7,21;93.346.867,45;17.378,00;Passiva;
EDGA11;26,45;6,43;0,34;100.979,51;0,46;-10,57;-17,30;300.073.035,69;7.629,00;Passiva;
FIIP11B;199,19;10,38;1,03;123.599,40;2,81;6,01;-1,22;179.055.986,30;8.830,00;Passiva;
FIVN11;3,14;0,00;0,46;18.450,43;0,03;;-13,19;64.863.959,96;2.563,00;Passiva;
BMLC11;93,27;7,42;0,87;22.145,60;2,50;17,59;4,18;106.682.383,60;1.615,00;Ativa;
BNFS11;121,70;9,63;1,19;64.651,60;4,74;5,99;-0,35;71.868.624,94;3.403,00;Ativa;
RCFF11;98,55;5,10;0,99;17.122,00;18,19;;;32.061.111,84;69,00;Ativa;
TCPF11;1,26;0,00;0,01;;6,47;;;32.491.141,40;52,00;Ativa;
EDFO11B;253,58;7,00;1,19;35.543,68;1,22;-5,09;-5,45;50.400.338,53;608,00;Passiva;
GRLV11;104,51;106,41;17,51;753.753,27;2.489,44;135,25;-9,57;6.407.890,29;2.604,00;Passiva;
PLRI11;44,03;6,37;0,80;13.126,32;1,45;-24,15;-18,39;52.807.296,98;807,00;Ativa;
ABCP11;75,10;3,81;0,85;234.910,60;0,81;-3,52;-2,26;1.077.720.548,83;20.012,00;Passiva;
JPPA11;99,99;8,75;0,98;137.077,46;13,04;;;61.691.176,85;203,00;Ativa;
JPPC11;402,00;3,66;0,88;;7,17;;-19,82;25.187.229,56;77,00;Ativa;
KNRE11;2,99;1,81;1,19;34.386,37;24,51;;-32,86;46.559.526,38;6.823,00;Ativa;
OURE11;88,00;8,74;0,88;87.674,26;7,88;;;82.837.286,05;3.509,00;Ativa;
PLCR11;95,14;6,73;0,97;1.146.143,23;9,69;;;207.872.210,94;5.063,00;Ativa;
ARRI11;106,75;8,05;1,11;136.930,97;2,20;;;37.842.289,81;2.522,00;Ativa;
BARI11;109,00;12,28;1,07;3.263.566,40;37,10;;;470.320.207,07;25.711,00;Ativa;
DRIT11B;112,00;3,49;0,85;3.254,96;1,14;-25,47;-6,19;60.795.124,28;300,00;--;
FTCE11B;2.950,01;12,17;1,11;961.703,00;6,87;;;2.334.697.439,08;57,00;Ativa;
FVBI11;94,97;70,88;;69.079,00;;142,93;-2,67;0,00;0,00;Passiva;
GCFF11;97,53;7,00;1,00;64.217,86;1,63;;;32.936.934,84;1.268,00;Ativa;
BRIM11;1.019,72;0,00;1,03;1.004,50;6,62;;;122.898.329,83;121,00;Ativa;
HABT11;119,47;11,35;1,18;2.131.759,97;21,36;;;547.290.224,41;24.987,00;Ativa;
CFHI11;0,00;0,00;;;14,80;;;75.306.370,43;54,00;Ativa;
ERPA11;140,00;0,00;1,34;7.338,86;0,35;;;51.939.263,41;9,00;Passiva;
PRSN11B;0,62;7,31;1,48;4.068,97;12,35;;;21.802.513,88;1.150,00;Ativa;
PRSV11;145,00;6,90;0,61;48.397,66;5,40;28,92;-28,09;46.144.422,87;1.268,00;Passiva;
SCPF11;9,16;2,22;0,73;10.169,46;2,04;-16,73;-13,08;52.973.753,33;4.881,00;Ativa;
SDIL11;97,05;6,73;0,94;1.153.435,43;34,90;-5,18;-0,82;661.815.225,95;45.381,00;Ativa;
BPRP11;108,25;8,45;1,00;24.950,87;0,07;;;145.783.802,11;179,00;Passiva;
RNGO11;61,50;8,47;0,61;286.096,06;1,45;-4,28;-12,65;270.805.175,79;15.622,00;Passiva;
THRA11;134,50;4,73;1,18;235.590,17;1,92;-0,43;4,79;167.939.494,27;2.307,00;Passiva;
TORM13;31,31;75,50;0,01;1.950,00;46,58;;;21.603.927,48;252,00;Ativa;
VCJR11;103,30;7,66;1,05;1.000.283,34;32,92;;;1.141.413.861,35;6.598,00;Ativa;
CRFF11;79,96;6,45;0,86;47.167,11;0,90;;;63.928.580,03;1.803,00;Ativa;
EURO11;206,94;6,35;0,73;150.083,89;1,97;8,69;2,17;108.776.379,98;2.317,00;Passiva;
BLMO11;26.662,53;0,00;1,03;;10,80;;;98.322.428,51;96,00;Ativa;
JSRE11;92,98;6,52;0,82;3.498.120,49;1,29;-2,61;-4,85;2.357.857.312,16;43.343,00;Ativa;
JTPR11;2.517,00;0,12;22,94;;7,93;;;23.550.633,45;9,00;Ativa;
KFOF11;96,38;6,48;0,92;697.478,54;0,84;;;473.325.166,32;6.814,00;Ativa;
NEWL11;104,49;7,46;0,94;623.265,46;31,31;;;137.967.084,81;1.042,00;Ativa;
NEWU11;39,95;0,28;0,63;12.693,09;3,27;58,77;;47.427.180,70;1.925,00;Ativa;
NPAR11;131,55;0,00;1,07;190.262,42;0,28;;;14.704.188,13;52,00;Ativa;
NSLU11;255,98;9,92;1,20;270.810,11;1,88;9,90;-2,68;243.850.897,79;7.673,00;Passiva;
RBTS11;1.000,00;0,00;0,95;;8,94;;;59.541.474,79;56,00;Ativa;
RBVA11;107,60;9,76;0,94;1.405.630,34;0,29;5,76;-4,39;1.323.970.702,68;39.000,00;Ativa;
RBVO11;12,96;7,62;0,58;7.372,43;2,18;-41,32;-40,61;11.542.549,62;2.140,00;--;
RCFA11;0,56;0,00;0,36;42.051,80;0,68;;;18.317.496,04;2.863,00;Passiva;
ALMI11;1.113,99;0,00;0,54;136.650,51;2,06;;-15,11;229.388.402,53;3.499,00;Passiva;
CPFF11;83,38;7,39;1,00;1.225.906,34;0,04;;;332.336.800,98;10.834,00;Ativa;
VPSI11;0,00;0,00;;;0,24;4,78;;147.133.304,33;57,00;Passiva;
XPHT12;61,97;0,00;0,71;124.983,59;0,92;;;331.034.343,27;1.617,00;Ativa;
XPIN11;108,50;6,77;0,98;1.488.495,23;5,15;;;729.732.294,31;52.485,00;Ativa;
XPLG11;114,59;6,02;1,03;6.917.019,34;24,76;;;3.001.645.978,98;256.069,00;Ativa;
XPML11;106,75;3,24;0,97;4.372.215,03;3,35;-14,80;1,86;2.006.411.657,54;254.134,00;Ativa;
XPPR11;66,98;11,56;0,77;2.106.119,29;4,97;;;638.121.228,42;37.663,00;Ativa;
XPSF11;97,99;8,83;1,00;1.454.819,57;1,16;;;424.734.197,61;16.085,00;Ativa;
XTED11;6,81;0,00;0,48;10.266,83;0,55;;-29,64;25.443.127,93;5.310,00;Ativa;
